level_0,level_1,0,column1,column2
1931,20,"[28906.434262346385, 20]",28906.434262346385,20
1931,21,"[33597.9485431252, 21]",33597.9485431252,21
1931,22,"[32939.42875167995, 22]",32939.42875167995,22
1931,23,"[50005.34678792534, 23]",50005.34678792534,23
1931,24,"[66492.10962390431, 24]",66492.10962390431,24
1931,25,"[70448.39014652662, 25]",70448.39014652662,25
1931,26,"[60747.64682334991, 26]",60747.64682334991,26
1931,27,"[85575.21008005302, 27]",85575.21008005302,27
1931,28,"[95305.11146615504, 28]",95305.11146615504,28
1931,29,"[93989.90092792209, 29]",93989.90092792209,29
1931,30,"[118079.51253574852, 30]",118079.51253574852,30
1931,31,"[106495.91235599159, 31]",106495.91235599159,31
1931,32,"[129168.8920965822, 32]",129168.8920965822,32
1931,33,"[148686.31169237578, 33]",148686.31169237578,33
1931,34,"[164729.56472398312, 34]",164729.56472398312,34
1931,35,"[143594.76156989607, 35]",143594.76156989607,35
1931,36,"[173333.23669102154, 36]",173333.23669102154,36
1931,37,"[184807.89695996715, 37]",184807.89695996715,37
1931,38,"[159489.21507645166, 38]",159489.21507645166,38
1931,39,"[156044.2480308003, 39]",156044.2480308003,39
1931,40,"[171399.00203703105, 40]",171399.00203703105,40
1931,41,"[198051.5468537894, 41]",198051.5468537894,41
1931,42,"[157391.56428470643, 42]",157391.56428470643,42
1931,43,"[99251.12043793587, 43]",99251.12043793587,43
1931,44,"[126912.4077039886, 44]",126912.4077039886,44
1931,45,"[149845.47977609935, 45]",149845.47977609935,45
1931,46,"[129646.30910228116, 46]",129646.30910228116,46
1931,47,"[128246.12896397652, 47]",128246.12896397652,47
1931,48,"[137441.37641069363, 48]",137441.37641069363,48
1931,49,"[162510.68346800414, 49]",162510.68346800414,49
1931,50,"[138101.5788111099, 50]",138101.5788111099,50
1931,51,"[157794.86394957418, 51]",157794.86394957418,51
1931,52,"[187981.02142312774, 52]",187981.02142312774,52
1931,53,"[191421.07411517098, 53]",191421.07411517098,53
1931,54,"[244406.4274302503, 54]",244406.4274302503,54
1931,55,"[285051.21631190093, 55]",285051.21631190093,55
1931,56,"[291208.322584238, 56]",291208.322584238,56
1931,57,"[327318.15458468354, 57]",327318.15458468354,57
1931,58,"[414581.1745969602, 58]",414581.1745969602,58
1931,59,"[379507.6072260574, 59]",379507.6072260574,59
1931,60,"[478255.4866262775, 60]",478255.4866262775,60
1931,61,"[499681.33242713474, 61]",499681.33242713474,61
1931,62,"[534559.0894305487, 62]",534559.0894305487,62
1931,63,"[527984.012630553, 63]",527984.012630553,63
1931,64,"[709452.1177716741, 64]",709452.1177716741,64
1931,65,"[849427.0206080254, 65]",849427.0206080254,65
1931,66,"[1111135.485657358, 66]",1111135.485657358,66
1931,67,"[1408697.5687163984, 67]",1408697.5687163984,67
1931,68,"[1671842.2745526216, 68]",1671842.2745526216,68
1931,69,"[1464701.0167355519, 69]",1464701.0167355519,69
1931,70,"[1249389.9672754258, 70]",1249389.9672754258,70
1931,71,"[955158.6299820631, 71]",955158.6299820631,71
1931,72,"[1204264.0006813852, 72]",1204264.0006813852,72
1931,73,"[1301568.531936441, 73]",1301568.531936441,73
1931,74,"[1320311.1187963258, 74]",1320311.1187963258,74
1931,75,"[1483765.6353033108, 75]",1483765.6353033108,75
1931,76,"[1522788.671511788, 76]",1522788.671511788,76
1931,77,"[907734.3270881769, 77]",907734.3270881769,77
1931,78,"[1146468.4551123674, 78]",1146468.4551123674,78
1931,79,"[1297572.9974961774, 79]",1297572.9974961774,79
1931,80,"[1283818.723722718, 80]",1283818.723722718,80
1931,81,"[1461242.4713411976, 81]",1461242.4713411976,81
1931,82,"[1909697.785795811, 82]",1909697.785795811,82
1931,83,"[2136951.8223055126, 83]",2136951.8223055126,83
1931,84,"[2163877.4152665623, 84]",2163877.4152665623,84
1931,85,"[2391300.931611078, 85]",2391300.931611078,85
1931,86,"[2857126.353088916, 86]",2857126.353088916,86
1931,87,"[2665127.4621613408, 87]",2665127.4621613408,87
1931,88,"[3450007.4997678557, 88]",3450007.4997678557,88
1931,89,"[4028918.758228902, 89]",4028918.758228902,89
1932,0,"[10123.0, 0]",10123.0,0
1932,1,"[15699.760699999999, 1]",15699.760699999999,1
1932,2,"[15029.380918109999, 2]",15029.380918109999,2
1932,3,"[21717.45542666895, 3]",21717.45542666895,3
1932,4,"[28336.935840717644, 4]",28336.935840717644,4
1932,5,"[17302.533024342192, 5]",17302.533024342192,5
1932,6,"[22728.607380775902, 6]",22728.607380775902,6
1932,7,"[22801.338924394386, 7]",22801.338924394386,7
1932,8,"[20204.266420905864, 8]",20204.266420905864,8
1932,9,"[16613.96827791089, 9]",16613.96827791089,9
1932,10,"[17991.266248149703, 10]",17991.266248149703,10
1932,11,"[21397.012948924443, 11]",21397.012948924443,11
